doctor_id,first_name,last_name,date_of_birth,location,language_1,language_2,sex,ethnicity,availability,wait_times,review,speciality,hospital_affiliation1,hospital_affiliation2,hospital_affiliation3,virtual_consultation,accessibility,cleanliness,staff_friendliness,cost_min,cost_max,preventive_care,Insurance_Aetna,Insurance_Anthem,Insurance_Blue Cross Blue Shield,Insurance_Centene,Insurance_Cigna,Insurance_Humana,Insurance_Kaiser Permanente
d1,Crystal,Anthony,9/4/1983,Dorchester,English,Russian,F,Middle Eastern,evening,1 week,2,cardiology,Dana-Farber Cancer Institute,Boston Medical Center,,Yes,No,clean,very friendly,$30.00 ,$500.00 ,Yes,1,0,0,0,1,0,0
d2,Johnny,Gray,1/7/1975,South End,English,Spanish,M,,evening,2 days,4,neurology,Brigham and Women's Hospital,Boston Medical Center,,Yes,Yes,,friendly,$150.00 ,$200.00 ,No,0,0,1,0,1,0,0
d3,Mark,Short,1/15/1987,West End,English,French,Other,Asian,afternoon,3 weeks,3,dermatology,Dana-Farber Cancer Institute,,,No,No,,,$30.00 ,$200.00 ,No,1,1,0,0,1,0,1
d4,Roy,Burgess,10/17/1966,Dorchester,English,French,M,Hispanic,evening,2 days,4,orthopedics,Brigham and Women's Hospital,,,No,Yes,,very friendly,$100.00 ,$200.00 ,Yes,0,1,1,1,1,0,1
d5,Richard,Watson,2/25/1976,South End,English,French,Other,Hispanic,afternoon,1 week,2,orthopedics,Boston Children's Hospital,,Tufts Medical Center,Yes,No,very clean,very friendly,$150.00 ,$200.00 ,No,1,0,0,1,1,0,1
d6,Jacob,Smith,1/13/1973,Dorchester,English,Spanish,F,Asian,morning,1 week,4,cardiology,Boston Children's Hospital,Boston Medical Center,,Yes,Yes,,,$150.00 ,$600.00 ,Yes,0,0,0,0,1,0,0
d7,Amy,Miller,3/31/1973,Fenway,English,French,F,White,evening,,5,dermatology,Boston Children's Hospital,Massachusetts General Hospital,Tufts Medical Center,No,No,very clean,friendly,$100.00 ,$500.00 ,No,1,0,0,0,1,0,0
d8,Christopher,Woodard,10/22/1986,Fenway,English,Mandarin,M,Black,afternoon,,3,neurology,Brigham and Women's Hospital,Massachusetts General Hospital,,Yes,Yes,very clean,,$150.00 ,$300.00 ,No,0,1,1,0,1,0,1
d9,Emily,Williamson,9/11/1990,Roxbury,English,Portuguese,M,Black,morning,,1,orthopedics,Boston Children's Hospital,Boston Medical Center,,No,Yes,clean,friendly,$150.00 ,$600.00 ,No,0,0,1,1,1,0,1
d10,Jessica,Knox,5/26/1969,Fenway,English,Portuguese,F,Middle Eastern,afternoon,3 weeks,1,neurology,Boston Children's Hospital,Boston Medical Center,,Yes,No,very clean,,$100.00 ,$200.00 ,Yes,1,0,0,0,1,0,0
d11,Roy,Morris,5/14/1966,Back Bay,English,French,M,White,evening,3 weeks,1,dermatology,Brigham and Women's Hospital,,,No,No,,very friendly,$50.00 ,$300.00 ,No,0,0,0,0,1,1,0
d12,Katelyn,Bradshaw,8/29/1968,Dorchester,English,Spanish,Other,White,evening,,1,family medicine,Dana-Farber Cancer Institute,,,No,Yes,very clean,friendly,$30.00 ,$500.00 ,No,0,1,0,1,1,1,0
d13,Brandon,Williams,2/11/1969,Dorchester,English,Mandarin,Other,,afternoon,2 days,5,neurology,Brigham and Women's Hospital,,Tufts Medical Center,Yes,No,clean,,$150.00 ,$500.00 ,No,0,0,0,0,1,0,0
d14,Linda,Shah,10/1/1975,South End,English,Mandarin,M,Middle Eastern,evening,2 days,2,family medicine,Brigham and Women's Hospital,,,No,Yes,clean,friendly,$50.00 ,$600.00 ,No,1,0,0,0,1,0,0
d15,Heidi,Cooper,12/4/1979,Back Bay,English,Mandarin,M,Middle Eastern,evening,,2,dermatology,Boston Children's Hospital,,Tufts Medical Center,No,Yes,,friendly,$100.00 ,$200.00 ,Yes,0,0,0,0,1,1,1
d16,Brian,Kirk,2/5/1985,Brighton,English,,F,Middle Eastern,morning,3 weeks,1,cardiology,Dana-Farber Cancer Institute,Boston Medical Center,,Yes,Yes,very clean,very friendly,$150.00 ,$300.00 ,No,0,0,0,0,1,1,0
d17,Jamie,Hudson,1/13/1986,Brighton,English,Spanish,Other,Black,evening,,2,neurology,Dana-Farber Cancer Institute,Boston Medical Center,Tufts Medical Center,Yes,No,clean,,$150.00 ,$300.00 ,No,0,0,0,0,1,1,0
d18,Nicole,Johnson,6/13/1966,Charlestown,English,Mandarin,F,White,afternoon,,5,dermatology,Dana-Farber Cancer Institute,Boston Medical Center,Tufts Medical Center,Yes,Yes,,very friendly,$50.00 ,$200.00 ,No,0,0,0,0,1,1,0
d19,Shannon,Estrada,12/25/1974,Charlestown,English,,M,Hispanic,afternoon,,4,neurology,Boston Children's Hospital,,Tufts Medical Center,No,No,,,$30.00 ,$500.00 ,No,0,0,1,0,1,0,0
d20,Robert,Best,4/3/1992,Brighton,English,French,Other,,morning,1 week,5,orthopedics,Dana-Farber Cancer Institute,Massachusetts General Hospital,Tufts Medical Center,No,Yes,clean,friendly,$150.00 ,$600.00 ,No,0,0,1,0,1,0,1
